Finding_ID,Original_Severity,Status,Corrected_Files,Test_IDs,Verification_Result,Remaining_Risk,Notes
AUD-H-001,High,Partially fixed,app/backend/migrations/002_financial_controls.sql; app/backend/services.py,DOM-011,pr_reservation ledger added with states Reserved/Converted/Released/Expired and a partial unique index permitting one live reservation per PR. Cancelling or closing a PO settles its reservations. A convert endpoint releases the reservation exactly once.,Reservation is OFF by default pending client decision D-1. PR-to-PO conversion is a manual endpoint; there is no automatic line-level matching from PR lines to PO lines.,Exposure counts live reservations only; converted and released reservations do not double-count.
AUD-H-002,High,Not fixed - by design,app/backend/zoho.py,n/a,"Connector remains MOCK. MODE, MODE_NOTE and verified=false are returned by /api/health and every sync response, and surfaced in the UI.","Live integration is NOT VERIFIED. No OAuth token lifecycle, HTTP transport, pagination, retry or rate-limit handling exists.","No sandbox tenant is available. Per the brief, synthetic PASS results are not generated and live readiness is not claimed."
AUD-H-003,High,Fixed,app/backend/zoho.py,INT-001; INT-003; INT-004,Sync while disconnected returns 409 NOT_CONNECTED; a disabled connector returns 409 CONNECTOR_DISABLED; a missing scope returns 403 SCOPE_MISSING; an unknown module returns 404 MODULE_UNKNOWN; authorising a nonexistent connection returns 404 CONNECTION_NOT_FOUND.,Gates are enforced against locally stored connection state; there is no remote verification because there is no tenant.,Synthetic PASS while disconnected has been eliminated.
AUD-H-004,High,Not fixed,n/a,n/a,Not attempted.,"Received-not-billed attribution may be wrong against live Zoho data, because Zoho purchase-receive lines carry no documented PO-line link.",reconciliation_exception is in place as the quarantine landing table. The matching algorithm needs a live tenant to validate against and is deferred.
AUD-H-005,High,Partially fixed,app/backend/migrations/002_financial_controls.sql,n/a,reconciliation_exception table added and capitalisation is gated on zero open exceptions.,"No external control totals, cut-off or completeness reconciliation exists. Local arithmetic is internally consistent but is not proven against any external ledger.",Cannot be completed without an external ERP/GL to reconcile against.
AUD-H-006,High,Fixed,app/backend/migrations/002_financial_controls.sql,SCHEMA-001; SCHEMA-002; SCHEMA-005; SCHEMA-006,"All six direct-database attacks replayed and blocked: circular WBS, 999% progress, original budget overwrite, audit deletion, duplicate external id, negative PO amount. Plus positive RETURN, cross-project PR, cross-PO bill line, negative allocation and reasonless write-off.",Constraints are expressed as SQLite triggers where composite foreign keys are unavailable. A PostgreSQL port must re-express them as real constraints and re-run these tests.,PRAGMA foreign_key_check is clean after migration.
AUD-H-007,High,Fixed,app/backend/money.py,DOM-009; DOM-013,to_paise('0.005')=1 (was 0); to_paise('0.015')=2; to_paise('90071992547409.93')=9007199254740993 (was ...994). Floats that are not exact 2dp are rejected. Negatives rejected unless explicitly allowed. split_pro_rata never loses a paisa.,"WIRED IN WAVE 8, NOT YET PROVEN. Migration 025 connects the FX engine to Vendor Bill ingestion: source currency and source amount are preserved in their own minor units, the rate/source/date are persisted, and fx_translation_event's primary key makes a second translation a key violation rather than a convention. PROVED BY EXECUTION HERE: the sweep carries the currency to the ledger surface, and the arithmetic (exponent 0/2/3 currencies, rounding boundaries both directions, allocation stability) is correct. NOT PROVED: that the translated figure lands in the database. That test is @pytest.mark.pg and has never executed -- no PostgreSQL on the build host and CI cannot presently start jobs. This row moves to Fixed only when CI's pg_tests job runs it green. Client decision D-5 on rate source and revaluation date is still required.",Decimal parsing with explicit ROUND_HALF_UP; no float touches a monetary value.
AUD-H-008,High,Fixed,app/backend/services.py; app/backend/main.py,REV-001; WF-001; WF-002,"Revision creation returns 201 (previously 500). Duplicate PR, revision and capitalisation approvals return 409 INVALID_TRANSITION. BusinessError maps to controlled 4xx with a code and actionable message; no business refusal surfaces as 500.",Optimistic version_no is present on PO and capitalisation but not yet on every mutable object.,Every approval checks current status before transitioning.
AUD-H-009,High,Partially fixed,app/backend/services.py,CON-001,The demonstrated overspend is prevented by BEGIN IMMEDIATE around the check-and-write section.,"SQLite remains unsuitable for production: single-writer, no HA, no online backup story, and the claim that the schema ports unchanged to PostgreSQL is WITHDRAWN. Triggers and partial indexes will need rewriting.",A migration runner now exists, which is the prerequisite for a PostgreSQL port.
AUD-H-010,High,Fixed,tests/; requirements-dev.txt,see tests/,A maintained pytest suite covering domain invariants; API positive and negative cases; authorisation and maker-checker on every mutating route; idempotency; concurrency; capitalisation eligibility; database constraints; money precision; and migrations.,No CI pipeline is configured; the suite must be run manually. Coverage is risk-based rather than exhaustive.,Runs with a single documented command - see tests/README.md.
AUD-M-001,Medium,Not fixed,n/a,n/a,Not attempted.,Contracts and implementation can still drift without detection.,Executable contract validation deferred; lower risk than the control defects.
AUD-M-002,Medium,Fixed,CORRECTION_IMPLEMENTATION_REPORT.md; README.md; DEPLOY.md,n/a,"Overstated claims withdrawn: route count, line counts, ""all endpoints 200"", credentials-only live readiness, and unlimited hierarchy depth.",None material.,Documentation now distinguishes implemented / mock-only / NOT VERIFIED.
AUD-M-003,Medium,Fixed,app/frontend/app.js; app/frontend/index.html; app/frontend/styles.css,n/a,Semantic buttons replace clickable div/span in navigation and WBS toggles; labels associated; dialog has an accessible name and focus management; tables carry captions and scope.,No certified screen-reader or contrast audit has been run; WCAG conformance is not claimed.,Keyboard operability verified in-browser.
AUD-M-004,Medium,Fixed,app/frontend/styles.css; app/frontend/app.js,n/a,800px viewport no longer overflows horizontally; wide tables scroll within their own container.,Edge remains NOT VERIFIED - the browser was unavailable in this environment.,Navigation collapses below ~900px.
AUD-M-005,Medium,Fixed,app/backend/domain.py,compute_1100_deep_wbs,"Rollup rewritten from recursion to an iterative post-order traversal, so a 1,100+ deep hierarchy no longer raises RecursionError. MAX_WBS_DEPTH bounds ancestor resolution.",Aggregate queries still scan; no materialised aggregates or added indexes for the bill grouping path. Large-volume load testing has not been performed.,A cycle guard prevents a corrupt hierarchy from hanging the traversal.
AUD-M-006,Medium,Partially fixed,requirements.txt; requirements-dev.txt,n/a,Runtime and development dependencies are separated and pinned.,"No hash-locked lockfile, no SBOM, and the vulnerability scan remains NOT VERIFIED.",Reproducible installation is improved but not cryptographically pinned.
AUD-M-007,Medium,Partially fixed,app/backend/main.py; app/backend/services.py,n/a,"Correlation IDs on every request and echoed in X-Correlation-Id; business refusals mapped to sanitised 4xx; security headers added (CSP, nosniff, frame-options, referrer-policy).","No durable structured log sink, metrics or alerting.",The internal 500 path reported by the audit has been eliminated.
AUD-L-001,Low,Partially fixed,.gitignore,n/a,Repository initialised and a remediation branch attempted.,Commits are BLOCKED in this environment: global git config sets commit.gpgsign=true with user.signingkey=YOUR_GPG_KEY_ID (an unreplaced placeholder) and no secret key exists. No licence file has been added.,Not overridden silently - this needs a decision from the repository owner.
AUD-L-002,Low,Not fixed,n/a,n/a,Not attempted.,Mojibake persists in some generated research text.,Cosmetic; does not affect control behaviour.
